Table 6.5 Percentile rank of detailed occupations by skills category, 2023;;;;;;;;;;;;;;;;;;
2023 National Employment Matrix title;2023 National Employment Matrix code;Adaptability;Computers and information technology;Creativity and innovation;Critical and analytical thinking;Customer service;Detail oriented;Fine motor;Interpersonal;Leadership;Mathematics;Mechanical;Physical strength and stamina;Problem solving and decision making;Project management;Science;Speaking and listening;Writing and reading
Library technicians;25-4031;52;62;40;17;61;12;44;62;8;19;26;48;15;48;17;38;39
Farm and home management educators;25-9021;74;65;80;79;75;6;26;75;83;71;42;37;79;95;87;95;86
Instructional coordinators;25-9031;82;78;91;77;55;3;6;84;94;81;14;20;70;93;30;96;93
Teaching assistants, postsecondary;25-9044;48;74;80;38;17;14;17;68;47;47;20;16;15;21;70;78;67
Teaching assistants, except postsecondary[1];25-9045;81;61;83;58;63;11;12;91;78;75;12;26;45;48;77;84;82
Educational instruction and library workers, all other[1];25-9099;78;64;84;58;58;10;12;88;80;73;14;25;44;56;74;86;81
Art directors;27-1011;72;72;100;72;26;12;40;57;63;28;16;7;66;71;11;82;63
Craft artists;27-1012;7;32;99;24;54;47;92;3;1;37;60;59;6;90;38;29;15
Fine artists, including painters, sculptors, and illustrators;27-1013;53;39;99;36;15;32;77;23;0;37;39;47;26;32;36;28;21
Special effects artists and animators;27-1014;58;95;97;56;37;74;56;35;49;39;34;8;55;39;13;66;58
Artists and related workers, all other[1];27-1019;62;71;99;60;30;31;50;45;38;33;28;23;53;58;15;65;55
Commercial and industrial designers;27-1021;23;87;92;74;39;73;36;25;20;72;51;21;75;53;82;57;51
Fashion designers;27-1022;78;42;99;76;67;55;50;66;91;35;26;25;77;99;6;65;68
Floral designers;27-1023;16;34;91;35;81;5;60;46;4;30;18;59;9;77;37;47;12
Graphic designers;27-1024;73;91;100;48;42;35;40;54;48;11;25;9;36;71;16;63;55
Interior designers;27-1025;67;83;99;72;77;66;8;72;89;75;28;21;59;94;40;79;64
Merchandise displayers and window trimmers;27-1026;30;30;92;40;71;4;54;44;51;18;29;92;33;52;8;44;32
Set and exhibit designers;27-1027;70;53;100;70;21;29;50;49;56;66;41;35;48;92;53;77;60
Designers, all other[1];27-1029;53;53;98;52;58;23;42;53;52;32;28;38;39;76;24;58;48
Actors;27-2011;43;25;99;7;50;11;8;73;11;0;7;52;8;2;10;94;43
Producers and directors;27-2012;73;80;97;74;61;51;37;69;85;39;35;29;90;93;7;97;69
Athletes and sports competitors;27-2021;66;30;52;50;61;28;52;59;74;35;54;98;49;60;55;71;33
Coaches and scouts;27-2022;79;45;86;81;57;17;23;86;94;30;32;64;85;91;53;98;64
Umpires, referees, and other sports officials;27-2023;76;25;2;27;35;21;5;46;37;26;10;64;37;1;26;51;30
Dancers;27-2031;29;3;97;3;53;27;15;49;9;2;7;100;4;1;20;30;12
Choreographers;27-2032;83;38;100;57;51;10;11;77;99;6;5;100;60;87;37;87;54
Music directors and composers;27-2041;51;48;99;52;54;34;39;63;80;15;20;42;58;87;12;73;52
Musicians and singers;27-2042;33;15;97;30;27;39;64;52;11;10;25;45;5;6;13;46;37
Disc jockeys, except radio[1];27-2091;80;89;97;52;85;67;41;59;44;11;52;29;74;50;19;100;76
Entertainers and performers, sports and related workers, all other[1];27-2099;64;38;95;58;52;27;33;73;73;19;29;50;52;66;27;88;54
Broadcast announcers and radio disc jockeys;27-3011;80;89;97;52;85;67;41;59;44;11;52;29;74;50;19;100;76
News analysts, reporters, and journalists;27-3023;78;61;89;62;57;57;27;53;23;10;22;20;54;29;21;97;94
Public relations specialists;27-3031;74;53;90;68;84;52;3;72;82;13;4;10;76;85;11;98;84
Editors;27-3041;61;60;88;62;52;46;33;40;58;16;14;11;57;28;10;89;100
Technical writers;27-3042;48;87;58;62;25;33;31;11;9;12;27;1;20;23;33;57;99
Writers and authors;27-3043;66;43;88;24;66;12;9;43;58;1;3;16;48;10;2;86;94
Interpreters and translators;27-3091;65;42;60;38;54;89;6;69;48;13;13;35;49;13;31;84;91
Court reporters and simultaneous captioners;27-3092;80;92;2;4;50;86;80;13;1;2;39;13;3;8;1;64;48
Media and communication workers, all other[1];27-3099;69;53;85;56;67;48;17;58;61;8;12;17;57;44;13;93;92
Audio and video technicians;27-4011;68;87;96;58;48;41;72;40;43;31;80;44;57;81;48;53;52
Broadcast technicians;27-4012;51;96;54;55;28;50;59;22;58;50;86;44;52;68;40;44;47
Sound engineering technicians;27-4014;82;96;98;43;57;74;71;62;66;30;80;33;62;70;44;67;53
Lighting technicians[1];27-4015;61;26;69;69;58;81;96;48;91;80;96;97;82;93;53;30;44
Photographers;27-4021;67;84;98;40;89;21;62;70;64;13;57;46;35;86;40;56;35
Camera operators, television, video, and film;27-4031;44;75;88;32;45;87;75;56;42;21;74;54;31;26;18;54;26
Film and video editors;27-4032;99;96;99;56;46;71;44;58;44;9;44;16;21;49;7;75;52
Media and communication equipment workers, all other[1];27-4099;69;86;97;46;62;45;64;57;56;24;67;43;41;76;36;55;43
Chiropractors;29-1011;84;58;60;74;75;84;66;92;81;40;33;73;94;85;88;62;77
Dentists, general;29-1021;87;46;65;76;96;98;100;90;94;61;63;57;98;98;92;64;63
Oral and maxillofacial surgeons;29-1022;100;50;77;92;93;98;99;91;95;64;61;56;99;79;96;72;72
Orthodontists;29-1023;94;51;71;81;86;82;91;87;96;51;44;36;95;88;92;70;65
Prosthodontists;29-1024;84;50;86;73;89;96;88;91;94;34;67;47;93;89;95;66;53
Dentists, all other specialists[1];29-1029;88;46;66;78;95;98;100;90;94;60;62;55;98;98;93;65;64
Dietitians and nutritionists;29-1031;56;81;57;86;62;21;3;92;59;85;9;17;68;86;91;81;87
Optometrists;29-1041;68;87;54;87;95;89;78;93;87;82;41;29;92;84;97;73;92
Pharmacists;29-1051;86;72;24;75;82;99;45;81;82;94;31;41;94;82;94;66;82
Physician assistants;29-1071;100;94;39;94;88;97;40;99;76;79;23;48;98;72;96;82;94
Podiatrists;29-1081;87;89;64;83;85;92;65;87;80;63;46;41;97;81;93;76;87
Occupational therapists;29-1122;96;54;89;87;63;32;43;98;72;25;29;61;89;78;83;75;84
Physical therapists;29-1123;85;51;73;79;92;61;58;98;84;47;45;80;94;62;89;70;79
Radiation therapists;29-1124;81;88;37;61;77;98;70;88;74;70;81;69;61;67;90;43;63
Recreational therapists;29-1125;87;55;96;66;82;6;34;100;83;9;33;63;43;90;59;85;69
Respiratory therapists;29-1126;97;56;47;78;75;97;67;89;69;67;69;72;81;63;91;53;58
Speech-language pathologists;29-1127;99;69;79;92;59;48;24;97;49;39;17;26;92;19;70;89;90
Exercise physiologists;29-1128;57;58;54;75;78;27;32;94;71;63;43;65;63;32;86;82;86
Therapists, all other[1];29-1129;94;56;75;83;75;64;48;96;73;46;43;57;90;54;86;74;78
Veterinarians;29-1131;95;45;49;85;97;93;67;82;71;87;36;56;97;21;97;67;77
Registered nurses;29-1141;90;67;63;77;90;87;50;97;92;79;42;78;87;61;83;70;78
Nurse anesthetists;29-1151;100;62;61;92;91;99;69;95;90;92;71;56;96;85;100;76;78
Nurse midwives;29-1161;100;76;59;84;88;97;49;99;87;61;27;59;96;70;89;75;90
Nurse practitioners;29-1171;98;80;61;93;85;95;45;95;85;82;32;52;97;64;93;84;95
Audiologists;29-1181;90;97;58;85;98;50;59;97;76;62;64;28;93;84;88;81;94
Anesthesiologists;29-1211;92;44;48;97;56;100;68;84;77;76;54;48;99;75;99;74;87
Cardiologists[1];29-1212;97;91;52;92;68;93;46;94;63;80;31;37;96;66;98;79;93
Dermatologists;29-1213;84;79;42;74;80;96;46;96;85;55;13;42;93;69;89;74;78
Emergency medicine physicians[1];29-1214;99;75;25;94;84;99;46;98;37;68;5;19;98;6;94;88;98
Family medicine physicians;29-1215;99;75;25;94;84;99;46;98;37;68;5;19;98;6;94;88;98
General internal medicine physicians;29-1216;97;91;52;92;68;93;46;94;63;80;31;37;96;66;98;79;93
Neurologists;29-1217;98;86;73;96;73;98;17;97;92;82;24;22;100;87;94;83;94
Obstetricians and gynecologists;29-1218;98;80;46;92;77;91;60;96;90;64;37;50;98;78;95;79;97
Pediatricians, general;29-1221;95;56;15;86;79;87;38;100;80;60;22;30;99;23;93;94;97
Physicians, pathologists;29-1222;94;85;47;88;26;98;49;62;57;66;45;29;97;89;96;77;96
Psychiatrists;29-1223;97;56;67;94;80;75;3;99;75;54;9;26;97;31;91;85;93
Radiologists;29-1224;79;77;43;89;65;92;67;94;73;67;53;38;96;70;95;81;99
Physicians, all other[1];29-1229;97;73;39;91;73;97;46;96;63;68;26;32;98;36;95;84;96
Ophthalmologists, except pediatric;29-1241;95;64;70;90;87;99;94;93;86;77;61;40;99;80;91;68;96
Orthopedic surgeons, except pediatric[1];29-1242;95;64;70;90;87;99;94;93;86;77;61;40;99;80;91;68;96
Pediatric surgeons[1];29-1243;95;64;70;90;87;99;94;93;86;77;61;40;99;80;91;68;96
Surgeons, all other[1];29-1249;95;64;70;90;87;99;94;93;86;77;61;40;99;80;91;68;96
Acupuncturists;29-1291;64;41;65;61;69;58;56;85;33;12;44;56;71;47;76;51;48
Dental hygienists;29-1292;80;36;38;35;76;69;92;89;32;14;57;61;49;49;72;36;45
Healthcare diagnosing or treating practitioners, all other[1];29-1299;92;64;58;80;85;90;51;95;84;71;40;61;91;62;87;72;80
Clinical laboratory technologists and technicians;29-2010;71;72;29;66;48;96;76;61;62;77;77;47;63;46;93;37;56
Cardiovascular technologists and technicians;29-2031;72;65;27;57;74;89;73;86;32;54;70;61;50;29;84;53;57
Diagnostic medical sonographers;29-2032;89;44;51;55;79;90;83;86;47;34;69;68;47;33;90;52;66
Nuclear medicine technologists;29-2033;69;77;37;51;86;93;62;86;60;88;68;51;62;58;98;50;58
Radiologic technologists and technicians;29-2034;73;79;27;43;78;81;75;88;49;32;67;70;45;18;86;52;48
Magnetic resonance imaging technologists;29-2035;63;87;44;46;76;95;63;77;60;51;66;52;50;51;90;50;59
Medical dosimetrists[1];29-2036;81;88;37;61;77;98;70;88;74;70;81;69;61;67;90;43;63
Emergency medical technicians[1];29-2042;52;36;35;33;76;81;55;79;28;19;74;80;38;41;58;45;42
Paramedics[1];29-2043;90;67;63;77;90;87;50;97;92;79;42;78;87;61;83;70;78
Dietetic technicians;29-2051;91;42;81;58;84;65;45;87;88;83;50;57;49;86;70;48;41
Pharmacy technicians;29-2052;59;73;13;43;88;93;53;72;59;86;39;55;30;59;73;59;58
Psychiatric technicians;29-2053;79;45;58;48;58;24;30;96;68;10;25;56;17;26;64;62;57
Surgical technologists;29-2055;79;28;40;36;54;97;72;79;75;58;71;71;65;78;78;35;38
Veterinary technologists and technicians;29-2056;79;44;34;62;78;86;62;76;61;72;65;80;49;69;92;47;59
Ophthalmic medical technicians;29-2057;76;55;4;22;80;82;58;81;51;57;53;42;32;9;63;38;46
Licensed practical and licensed vocational nurses;29-2061;85;46;43;64;67;80;57;92;85;66;40;83;71;61;76;61;61
Medical records specialists[1];29-2072;19;89;1;20;28;65;55;30;3;3;10;24;16;21;23;41;74
Opticians, dispensing;29-2081;68;78;61;55;100;53;67;81;77;83;59;34;65;80;76;70;66
Orthotists and prosthetists;29-2091;93;73;87;80;77;49;71;92;72;60;65;52;89;67;89;64;84
Hearing aid specialists;29-2092;76;86;48;49;98;35;52;88;20;34;64;28;79;51;72;67;52
Health technologists and technicians, all other[1];29-2099;71;54;30;53;70;86;60;80;62;60;54;62;49;48;80;52;58
Health information technologists and medical registrars[1];29-9021;44;99;44;86;28;40;19;36;71;89;22;4;39;69;65;62;72
Athletic trainers;29-9091;94;52;73;63;64;83;47;95;60;16;35;70;92;65;81;75;62
Genetic counselors;29-9092;90;61;31;70;58;73;5;88;33;81;0;1;70;9;91;77;97
Surgical assistants;29-9093;89;43;56;54;72;96;99;90;70;48;59;83;41;59;85;61;57
Healthcare practitioners and technical workers, all other[1];29-9099;75;81;58;69;52;77;44;78;66;58;35;43;61;62;78;67;65
Home health and personal care aides;31-1120;59;27;60;30;60;58;29;94;63;16;46;78;29;55;59;37;42
Nursing assistants;31-1131;67;27;49;21;65;71;38;94;60;21;41;88;14;17;58;42;38
Orderlies;31-1132;22;17;3;4;68;51;63;83;12;2;39;98;19;4;30;36;14
Psychiatric aides;31-1133;63;37;49;32;63;44;39;89;71;14;35;74;33;42;38;61;52
Occupational therapy assistants;31-2011;89;50;87;48;75;55;49;98;77;12;40;82;80;65;61;55;65
Occupational therapy aides;31-2012;64;45;48;31;72;27;34;94;77;15;53;79;36;65;63;43;47
Physical therapist assistants;31-2021;80;53;57;44;83;58;54;95;52;20;55;84;76;41;84;67;53
Physical therapist aides;31-2022;55;49;33;19;69;23;47;84;41;11;37;82;22;22;65;30;40
Massage therapists;31-9011;50;26;51;25;64;9;53;87;4;3;12;89;51;40;70;37;39
Dental assistants;31-9091;76;51;42;37;90;59;68;78;70;23;57;64;22;79;62;59;45
Medical assistants;31-9092;90;75;64;51;82;85;42;88;57;59;56;48;31;87;75;63;67
Medical equipment preparers;31-9093;70;49;40;42;71;86;72;65;46;28;76;81;43;78;81;28;45
Medical transcriptionists;31-9094;19;89;1;20;28;65;55;30;3;3;10;24;16;21;23;41;74
Pharmacy aides;31-9095;55;40;12;16;97;63;48;74;49;58;48;46;16;35;27;39;37
Veterinary assistants and laboratory animal caretakers;31-9096;51;49;18;28;85;85;55;75;45;61;57;82;35;74;84;35;46
Phlebotomists;31-9097;77;63;45;39;90;97;57;90;83;24;54;63;39;76;82;42;48
Healthcare support workers, all other[1];31-9099;76;55;49;41;82;78;51;82;52;42;53;58;32;77;73;53;55
First-line supervisors of correctional officers;33-1011;85;87;44;71;84;56;30;83;99;32;46;81;84;84;28;85;69
First-line supervisors of police and detectives;33-1012;97;82;66;80;99;90;49;86;99;51;49;59;95;95;51;87;78
First-line supervisors of firefighting and prevention workers;33-1021;84;51;68;61;92;91;58;87;100;55;80;88;92;94;82;80;61
First-line supervisors of security workers[1];33-1091;74;75;68;70;69;44;21;80;94;60;29;30;74;91;7;69;74
First-line supervisors of protective service workers, all other[1];33-1099;89;73;64;72;93;81;43;85;98;51;55;62;91;93;53;84;71
Firefighters;33-2011;92;41;50;57;86;88;73;87;84;60;90;98;75;61;86;60;40
Fire inspectors and investigators;33-2021;64;71;52;62;89;75;37;74;66;50;52;61;81;82;78;58;71
Forest fire inspectors and prevention specialists;33-2022;67;59;55;55;83;55;49;64;93;46;73;71;91;72;81;68;47
Bailiffs;33-3011;68;38;10;16;81;56;18;80;54;1;37;59;25;19;6;50;23
Correctional officers and jailers;33-3012;68;58;44;54;87;84;58;77;85;26;58;82;71;60;32;80;45
Detectives and criminal investigators;33-3021;94;86;68;74;97;94;41;81;70;40;47;57;95;60;56;91;70
Fish and game wardens;33-3031;81;60;69;68;97;85;50;69;44;47;69;70;89;60;88;84;57
Parking enforcement workers;33-3041;65;40;47;25;80;26;65;65;31;20;72;67;40;33;56;34;38
Police and sheriff's patrol officers;33-3051;97;66;50;62;100;91;53;89;87;31;55;85;88;55;52;84;62
Transit and railroad police;33-3052;94;79;57;66;98;80;48;76;83;22;50;85;81;58;49;81;55
Animal control workers;33-9011;85;46;56;45;99;64;41;63;28;7;48;67;58;62;59;61;46
Private detectives and investigators;33-9021;71;88;65;75;66;79;35;38;21;35;41;32;83;72;19;68;68
Gambling surveillance officers and gambling investigators;33-9031;64;90;18;57;40;95;49;53;65;43;35;35;71;43;12;42;53
Security guards;33-9032;76;74;80;41;96;79;29;83;87;13;51;60;34;66;68;45;36
Crossing guards and flaggers;33-9091;15;5;2;6;55;68;34;53;2;1;19;59;15;4;2;21;3
Lifeguards, ski patrol, and other recreational protective service workers;33-9092;47;32;11;9;71;55;22;78;56;1;45;77;38;13;65;36;16
Transportation security screeners;33-9093;63;30;4;29;83;91;64;54;53;4;56;80;20;15;21;40;33
School bus monitors[1];33-9094;39;20;8;9;74;71;79;66;13;14;65;49;27;7;17;31;22
Protective service workers, all other[1];33-9099;69;52;67;37;91;78;32;80;76;9;50;60;34;50;62;43;31
Chefs and head cooks;35-1011;81;51;95;72;94;70;65;73;99;90;66;76;72;99;79;81;44
First-line supervisors of food preparation and serving workers;35-1012;50;34;34;46;98;52;59;71;95;78;47;67;79;90;35;56;37
Cooks, fast food;35-2011;2;8;5;3;52;28;26;12;13;5;26;49;3;5;2;39;6
Cooks, institution and cafeteria;35-2012;54;15;32;31;47;50;68;64;64;69;45;71;24;76;43;21;29
Cooks, private household;35-2013;36;30;67;26;48;19;75;49;18;36;40;58;25;91;56;23;19
Cooks, restaurant;35-2014;40;10;63;21;60;37;73;44;67;52;51;73;7;74;49;14;15
Cooks, short order;35-2015;33;13;35;5;69;15;56;37;45;30;44;65;10;63;35;31;10
Cooks, all other[1];35-2019;28;11;41;14;56;36;58;41;49;42;45;65;8;52;34;25;15
Food preparation workers;35-2021;13;12;33;7;83;16;53;61;65;23;43;72;8;32;51;27;8
Bartenders;35-3011;43;19;60;15;91;4;55;78;53;43;32;74;21;79;18;39;24
Fast food and counter workers;35-3023;14;11;17;1;73;12;43;52;50;47;30;48;5;21;33;29;2
Waiters and waitresses;35-3031;29;11;13;5;84;9;39;77;29;26;28;86;8;11;15;53;8
Food servers, nonrestaurant;35-3041;35;21;23;22;70;30;47;68;48;24;39;80;12;32;41;30;9
Dining room and cafeteria attendants and bartender helpers;35-9011;28;13;7;2;79;2;56;67;29;5;36;90;4;43;13;24;2
Dishwashers;35-9021;8;6;13;1;29;1;64;45;29;11;64;75;11;38;35;3;1
Hosts and hostesses, restaurant, lounge, and coffee shop;35-9031;24;14;3;2;93;1;25;62;20;33;11;52;5;3;29;57;8
Food preparation and serving related workers, all other[1];35-9099;18;11;7;1;67;1;49;59;26;14;42;74;7;25;26;29;3
First-line supervisors of housekeeping and janitorial workers;37-1011;59;39;54;37;68;27;45;81;99;31;62;69;40;95;43;43;41
First-line supervisors of landscaping, lawn service, and groundskeeping workers;37-1012;60;42;61;45;80;50;65;56;97;67;82;76;71;97;83;49;45
Janitors and cleaners, except maids and housekeeping cleaners;37-2011;10;23;20;5;18;3;57;15;45;0;59;87;6;50;26;10;7
Maids and housekeeping cleaners;37-2012;15;6;5;2;46;4;48;52;9;5;35;93;0;24;42;7;5
Building cleaning workers, all other[1];37-2019;12;16;13;4;28;3;53;29;29;1;52;89;3;42;31;10;7
Pest control workers;37-2021;37;15;44;48;71;43;66;52;18;55;70;87;69;73;81;45;46
Landscaping and groundskeeping workers;37-3011;17;1;26;5;33;10;61;47;18;4;71;91;1;13;74;3;0
Pesticide handlers, sprayers, and applicators, vegetation;37-3012;21;24;27;22;71;65;69;38;39;52;78;72;54;61;86;30;24
Tree trimmers and pruners;37-3013;19;2;28;25;40;68;86;44;46;8;86;99;52;28;62;13;14
Grounds maintenance workers, all other[1];37-3019;17;1;26;5;35;12;62;46;20;5;72;92;2;13;74;4;0
First-line supervisors of gambling services workers;39-1013;53;55;9;42;99;82;46;72;78;73;47;58;50;22;10;60;51
First-line supervisors of entertainment and recreation workers, except gambling services[1];39-1014;59;34;76;52;89;31;26;87;89;31;37;49;85;88;44;72;51
First-line supervisors of personal service workers;39-1022;59;34;76;52;89;31;26;87;89;31;37;49;85;88;44;72;51
Animal trainers;39-2011;45;31;73;38;74;15;52;61;65;8;29;87;63;52;54;40;38
Animal caretakers;39-2021;47;30;33;10;65;23;38;57;21;16;42;77;30;39;64;26;26
Gambling dealers;39-3011;21;5;3;3;82;42;61;60;7;80;16;47;2;0;5;49;9
Gambling and sports book writers and runners;39-3012;27;14;4;5;73;14;43;52;16;87;29;40;4;5;9;50;25
Gambling service workers, all other[1];39-3019;22;6;3;3;81;39;60;60;8;81;18;46;3;1;5;49;10
Motion picture projectionists;39-3021;6;40;6;11;29;35;55;3;6;2;75;42;17;5;11;24;8
Ushers, lobby attendants, and ticket takers;39-3031;21;20;10;1;91;2;35;65;8;7;32;47;4;1;11;36;8
Amusement and recreation attendants;39-3091;10;25;24;2;92;0;41;60;19;20;43;58;5;6;6;56;14
Costume attendants;39-3092;23;24;97;27;13;12;66;61;40;4;40;54;18;50;35;33;27
Locker room, coatroom, and dressing room attendants;39-3093;8;0;4;0;64;0;34;65;5;1;25;51;1;1;16;35;6
Entertainment attendants and related workers, all other[1];39-3099;13;19;16;2;88;2;44;62;14;29;36;53;4;3;7;51;12
Embalmers;39-4011;70;49;46;36;91;88;61;83;31;17;54;63;69;60;88;56;34
Crematory operators[1];39-4012;27;24;20;11;78;20;20;82;56;6;56;53;24;64;35;38;23
Funeral attendants;39-4021;27;24;20;11;78;20;20;82;56;6;56;53;24;64;35;38;23
Morticians, undertakers, and funeral arrangers;39-4031;84;68;67;47;98;84;47;98;90;60;50;51;75;97;77;79;48
Barbers;39-5011;27;2;59;11;62;39;86;73;4;13;55;55;19;18;39;36;5
Hairdressers, hairstylists, and cosmetologists;39-5012;62;22;83;37;88;28;88;79;41;28;44;64;47;41;57;48;36
Makeup artists, theatrical and performance;39-5091;92;29;98;38;48;22;69;68;55;7;22;53;18;88;62;51;34
Manicurists and pedicurists;39-5092;11;4;33;0;22;1;57;39;2;3;30;28;0;4;46;5;4
Shampooers;39-5093;29;1;20;1;63;11;60;63;21;1;23;54;10;12;48;27;10
Skincare specialists;39-5094;72;3;67;19;83;43;60;85;8;1;28;46;18;3;60;46;28
Baggage porters and bellhops;39-6011;15;29;23;8;94;17;48;70;43;18;61;90;26;51;14;43;23
Concierges;39-6012;81;63;90;33;94;20;16;97;78;22;15;36;51;65;8;87;32
Tour and travel guides;39-7010;33;21;60;8;64;6;10;71;12;6;19;39;11;3;27;86;30
Childcare workers;39-9011;56;17;73;18;55;13;20;80;47;19;16;61;26;10;21;35;32
Exercise trainers and group fitness instructors;39-9031;39;30;79;26;70;3;25;87;55;3;37;98;9;35;60;49;30
Recreation workers;39-9032;82;43;94;49;72;34;21;91;87;36;45;63;43;94;27;81;47
Residential advisors;39-9041;67;49;66;47;80;40;13;96;86;11;31;43;40;90;32;78;42
Personal care and service workers, all other[1];39-9099;58;26;79;28;62;14;21;84;62;17;26;70;24;37;31;46;36
First-line supervisors of retail sales workers;41-1011;75;40;56;55;96;11;43;80;94;66;22;51;61;81;5;61;35
First-line supervisors of non-retail sales workers;41-1012;40;54;36;64;81;20;24;64;98;77;33;25;92;93;5;86;61
Cashiers;41-2011;40;17;16;6;94;24;51;67;33;74;36;52;10;8;16;33;20
Gambling change persons and booth cashiers;41-2012;47;27;1;17;90;61;48;66;40;86;52;50;26;51;3;29;31
Counter and rental clerks;41-2021;28;44;28;11;98;15;44;59;39;56;55;44;23;41;16;52;40
Parts salespersons;41-2022;51;74;43;33;99;21;38;70;66;67;64;59;52;72;13;62;55
Retail salespersons;41-2031;38;33;51;13;99;17;33;73;19;58;37;49;29;23;13;57;35
Advertising sales agents;41-3011;46;63;89;44;99;17;13;77;12;70;20;22;59;64;3;92;52
Insurance sales agents;41-3021;49;50;32;51;95;60;14;58;3;84;15;12;56;17;4;72;64
Securities, commodities, and financial services sales agents;41-3031;69;80;48;68;81;65;10;53;29;89;12;9;85;77;12;60;60
Travel agents;41-3041;14;81;21;35;85;86;40;52;13;57;18;9;37;43;4;74;58
Sales representatives of services, except advertising, insurance, financial services, and travel[1];41-3091;83;62;31;40;97;37;42;67;54;56;21;27;28;42;11;66;55
Sales representatives, wholesale and manufacturing, technical and scientific products;41-4011;41;41;44;43;72;17;23;65;8;69;24;24;48;45;39;83;56
Sales representatives, wholesale and manufacturing, except technical and scientific products;41-4012;74;59;86;40;99;2;26;74;16;58;29;39;75;56;1;71;49
Demonstrators and product promoters;41-9011;23;23;45;18;97;5;41;72;21;17;30;52;29;12;13;75;38
Models;41-9012;1;9;53;0;5;0;0;5;0;0;4;63;0;1;8;6;1
Real estate brokers;41-9021;86;61;63;54;84;30;10;71;38;62;26;14;71;58;15;80;60
Real estate sales agents;41-9022;74;74;64;45;96;43;16;80;66;81;38;32;79;84;18;86;61
Sales engineers;41-9031;76;57;81;88;78;38;17;71;36;89;38;7;95;44;66;83;73
Telemarketers;41-9041;33;39;62;18;92;13;28;67;10;2;17;2;6;11;11;71;35
Door-to-door sales workers, news and street vendors, and related workers;41-9091;5;37;17;3;94;0;14;66;39;11;11;23;8;39;4;70;29
Sales and related workers, all other[1];41-9099;65;54;62;43;93;27;18;76;46;62;32;28;62;64;20;82;56
First-line supervisors of office and administrative support workers;43-1011;74;75;68;70;69;44;21;80;94;60;29;30;74;91;7;69;74
Switchboard operators, including answering service;43-2011;29;48;1;9;84;12;36;60;3;9;16;21;13;0;1;73;20
Telephone operators;43-2021;77;30;19;19;80;49;44;71;9;6;8;2;18;6;1;82;29
Communications equipment operators, all other[1];43-2099;32;45;2;9;83;15;37;61;3;8;15;20;13;1;1;75;21
Bill and account collectors;43-3011;24;48;21;25;69;45;16;29;16;63;6;10;25;26;0;53;46
Billing and posting clerks;43-3021;45;81;15;30;36;18;36;45;9;85;24;20;20;11;20;27;48
Bookkeeping, accounting, and auditing clerks;43-3031;31;71;9;28;51;49;35;46;10;95;10;15;21;45;4;33;50
Gambling cage workers;43-3041;52;32;4;18;86;95;44;51;48;94;33;51;14;15;0;44;37
Payroll and timekeeping clerks;43-3051;64;70;24;37;13;57;27;54;5;94;9;14;22;4;0;39;59
Procurement clerks;43-3061;65;60;38;57;39;41;4;70;18;74;23;26;64;83;39;55;62
Tellers;43-3071;61;49;23;34;93;82;55;71;31;91;34;39;42;34;5;54;43
Financial clerks, all other[1];43-3099;38;66;12;30;52;49;36;50;11;93;15;22;25;33;6;36;49
Brokerage clerks;43-4011;49;63;14;52;54;79;38;25;4;85;1;3;35;12;2;54;53
Correspondence clerks;43-4021;25;77;21;32;55;52;19;41;11;67;14;17;39;26;10;42;70
Court, municipal, and license clerks;43-4031;63;81;16;40;79;48;42;69;30;49;25;24;22;30;5;52;50
Credit authorizers, checkers, and clerks;43-4041;47;67;7;39;93;65;18;49;57;52;4;8;66;31;3;58;65
Customer service representatives;43-4051;83;62;31;40;97;37;42;67;54;56;21;27;28;42;11;66;55
Eligibility interviewers, government programs;43-4061;77;84;29;47;70;58;29;75;16;52;5;10;43;17;6;76;74
File clerks;43-4071;24;52;40;26;45;48;31;54;11;29;31;42;1;27;38;34;48
Hotel, motel, and resort desk clerks;43-4081;60;67;39;17;99;26;34;81;65;61;25;34;53;19;28;54;30
Interviewers, except eligibility and loan;43-4111;87;95;44;53;90;60;28;84;78;44;22;22;42;59;2;71;55
Library assistants, clerical;43-4121;32;58;35;9;60;6;40;68;15;15;18;48;18;46;6;38;41
Loan interviewers and clerks;43-4131;60;66;34;59;97;58;28;48;12;83;16;12;76;30;2;75;70
New accounts clerks;43-4141;48;48;7;29;89;60;35;71;32;77;11;28;23;4;1;58;41
Order clerks;43-4151;85;87;45;36;67;16;18;76;51;76;37;28;30;68;11;61;52
Human resources assistants, except payroll and timekeeping;43-4161;38;84;19;39;71;29;13;74;27;15;13;20;32;73;2;57;68
Receptionists and information clerks;43-4171;50;57;21;4;82;7;36;77;13;37;18;22;38;17;9;63;45
Reservation and transportation ticket agents and travel clerks;43-4181;84;58;51;44;98;84;39;88;21;52;28;49;62;7;14;89;53
Information and record clerks, all other[1];43-4199;71;64;29;33;92;29;38;71;39;53;21;27;34;34;10;64;52
Cargo and freight agents;43-5011;29;39;25;35;55;44;32;22;9;46;60;36;33;13;16;53;45
Couriers and messengers;43-5021;1;28;0;7;45;38;60;19;0;16;51;68;14;6;14;30;30
Public safety telecommunicators;43-5031;94;97;34;60;100;96;55;85;70;6;50;31;82;67;24;90;60
Dispatchers, except police, fire, and ambulance;43-5032;58;52;28;48;88;52;39;64;79;27;31;17;84;38;15;65;54
Meter readers, utilities;43-5041;18;36;16;16;69;37;70;34;16;55;66;88;18;20;54;17;23
